,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
trend[9],0.905,0.005,0.895,0.915,0.0,0.0,1811.0,1904.0,1.0
trend[10],0.904,0.006,0.893,0.914,0.0,0.0,1716.0,1857.0,1.0
trend[11],0.904,0.006,0.893,0.913,0.0,0.0,1605.0,1876.0,1.0
trend[12],0.903,0.005,0.893,0.913,0.0,0.0,2025.0,1852.0,1.0
trend[13],0.901,0.005,0.891,0.911,0.0,0.0,2175.0,1484.0,1.0
trend[14],0.9,0.005,0.89,0.911,0.0,0.0,2045.0,1714.0,1.0
trend[15],0.899,0.006,0.887,0.911,0.0,0.0,1211.0,1202.0,1.0
trend[16],0.898,0.006,0.887,0.91,0.0,0.0,1604.0,1371.0,1.0
trend[17],0.897,0.006,0.886,0.908,0.0,0.0,1822.0,1553.0,1.0
trend[18],0.896,0.006,0.884,0.907,0.0,0.0,1852.0,1596.0,1.0
trend[19],0.895,0.006,0.883,0.906,0.0,0.0,1876.0,1771.0,1.0
trend[20],0.895,0.007,0.883,0.907,0.0,0.0,1713.0,1395.0,1.0
trend[21],0.894,0.007,0.882,0.908,0.0,0.0,1647.0,1577.0,1.0
trend[22],0.895,0.007,0.881,0.908,0.0,0.0,1543.0,1616.0,1.0
trend[23],0.895,0.007,0.881,0.908,0.0,0.0,1715.0,1567.0,1.0
trend[24],0.895,0.007,0.883,0.909,0.0,0.0,997.0,1070.0,1.0
trend[25],0.897,0.007,0.884,0.911,0.0,0.0,1388.0,1552.0,1.01
trend[26],0.899,0.008,0.885,0.913,0.0,0.0,888.0,1252.0,1.0
trend[27],0.899,0.009,0.883,0.915,0.0,0.0,522.0,1184.0,1.01
trend[28],0.9,0.008,0.885,0.915,0.0,0.0,711.0,1147.0,1.01
trend[29],0.9,0.007,0.886,0.914,0.0,0.0,1862.0,1818.0,1.0
trend[30],0.899,0.007,0.885,0.912,0.0,0.0,2020.0,1826.0,1.0
trend[31],0.894,0.007,0.881,0.908,0.0,0.0,1889.0,1702.0,1.01
trend[32],0.889,0.008,0.875,0.904,0.0,0.0,1720.0,1757.0,1.0
trend[33],0.884,0.009,0.868,0.902,0.0,0.0,1445.0,1366.0,1.0
trend[34],0.878,0.009,0.861,0.895,0.0,0.0,1505.0,1597.0,1.0
trend[35],0.87,0.009,0.854,0.887,0.0,0.0,1764.0,1817.0,1.0
trend[36],0.864,0.01,0.847,0.882,0.0,0.0,1392.0,1589.0,1.0
trend[37],0.856,0.009,0.839,0.873,0.0,0.0,1417.0,1677.0,1.0
trend[38],0.842,0.009,0.824,0.859,0.0,0.0,2003.0,1873.0,1.0
trend[39],0.833,0.01,0.815,0.851,0.0,0.0,1882.0,1932.0,1.0
trend[40],0.828,0.01,0.809,0.846,0.0,0.0,2027.0,1769.0,1.0
trend[41],0.823,0.011,0.803,0.844,0.0,0.0,1650.0,1866.0,1.01
trend[42],0.816,0.011,0.795,0.835,0.0,0.0,1761.0,1786.0,1.0
trend[43],0.811,0.011,0.79,0.831,0.0,0.0,1915.0,1805.0,1.0
trend[44],0.8,0.012,0.776,0.822,0.0,0.0,1606.0,2009.0,1.0
trend[45],0.794,0.012,0.772,0.818,0.0,0.0,2207.0,1764.0,1.0
trend[46],0.794,0.014,0.768,0.818,0.0,0.0,2115.0,1932.0,1.0
trend[47],0.798,0.017,0.766,0.829,0.0,0.0,2027.0,1931.0,1.0
seasonality[0],-0.008,0.011,-0.027,0.014,0.0,0.0,2072.0,1799.0,1.0
seasonality[1],-0.059,0.011,-0.08,-0.039,0.0,0.0,2098.0,1551.0,1.0
seasonality[2],0.039,0.013,0.015,0.064,0.0,0.0,1913.0,1800.0,1.0
seasonality[3],0.031,0.012,0.008,0.053,0.0,0.0,2108.0,1894.0,1.0
seasonality[4],0.085,0.013,0.063,0.109,0.0,0.0,1945.0,1883.0,1.0
seasonality[5],0.067,0.012,0.046,0.09,0.0,0.0,2050.0,1891.0,1.0
seasonality[6],0.082,0.012,0.062,0.108,0.0,0.0,2196.0,1896.0,1.0
seasonality[7],0.071,0.012,0.048,0.093,0.0,0.0,2161.0,1500.0,1.0
seasonality[8],-0.015,0.012,-0.036,0.008,0.0,0.0,2425.0,1746.0,1.0
seasonality[9],-0.022,0.013,-0.044,0.003,0.0,0.0,2061.0,1565.0,1.0
seasonality[10],-0.109,0.012,-0.132,-0.086,0.0,0.0,2138.0,1899.0,1.0
seasonality[11],-0.133,0.013,-0.154,-0.106,0.0,0.0,1948.0,1482.0,1.0
seasonality[12],-0.008,0.011,-0.027,0.014,0.0,0.0,2072.0,1799.0,1.0
seasonality[13],-0.059,0.011,-0.08,-0.039,0.0,0.0,2098.0,1551.0,1.0
seasonality[14],0.025,0.016,-0.006,0.052,0.0,0.0,2471.0,1889.0,1.0
seasonality[15],0.03,0.016,-0.003,0.058,0.0,0.0,2622.0,1881.0,1.0
seasonality[16],0.101,0.017,0.068,0.131,0.0,0.0,2388.0,1475.0,1.0
seasonality[17],0.057,0.018,0.024,0.088,0.0,0.0,2918.0,1791.0,1.0
seasonality[18],0.081,0.017,0.049,0.113,0.0,0.0,2241.0,1892.0,1.0
seasonality[19],0.066,0.017,0.033,0.096,0.0,0.0,2249.0,1689.0,1.0
seasonality[20],-0.005,0.017,-0.037,0.027,0.0,0.0,2445.0,1735.0,1.0
seasonality[21],-0.02,0.016,-0.05,0.011,0.0,0.0,2505.0,1363.0,1.0
seasonality[22],-0.12,0.016,-0.154,-0.092,0.0,0.0,2160.0,1925.0,1.0
seasonality[23],-0.141,0.016,-0.172,-0.111,0.0,0.0,2417.0,1568.0,1.0
seasonality[24],-0.008,0.011,-0.027,0.014,0.0,0.0,2072.0,1799.0,1.0
seasonality[25],-0.059,0.011,-0.08,-0.039,0.0,0.0,2098.0,1551.0,1.0
seasonality[26],0.039,0.013,0.015,0.064,0.0,0.0,1913.0,1800.0,1.0
seasonality[27],0.031,0.012,0.008,0.053,0.0,0.0,2108.0,1894.0,1.0
seasonality[28],0.085,0.013,0.063,0.109,0.0,0.0,1945.0,1883.0,1.0
seasonality[29],0.067,0.012,0.046,0.09,0.0,0.0,2050.0,1891.0,1.0
seasonality[30],0.082,0.012,0.062,0.108,0.0,0.0,2196.0,1896.0,1.0
seasonality[31],0.071,0.012,0.048,0.093,0.0,0.0,2161.0,1500.0,1.0
seasonality[32],-0.015,0.012,-0.036,0.008,0.0,0.0,2425.0,1746.0,1.0
seasonality[33],-0.022,0.013,-0.044,0.003,0.0,0.0,2061.0,1565.0,1.0
seasonality[34],-0.109,0.012,-0.132,-0.086,0.0,0.0,2138.0,1899.0,1.0
seasonality[35],-0.133,0.013,-0.154,-0.106,0.0,0.0,1948.0,1482.0,1.0
seasonality[36],-0.008,0.011,-0.027,0.014,0.0,0.0,2072.0,1799.0,1.0
